Publication Type;Authors;Author Full Names;Article Title;Source Title;Language;Document Type;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;ISSN;eISSN;ISBN;Publication Date;Publication Year;Volume;Issue;Start Page;End Page;Article Number;DOI;DOI Link;Number of Pages;WoS Categories;UT (Unique WOS ID);Web of Science Record
J;"Fehrer, T; Fischer, DA; Leemans, SJJ; Roglinger, M; Wynn, MT";"Fehrer, Tobias; Fischer, Dominik A.; Leemans, Sander J. J.; Roeglinger, Maximilian; Wynn, Moe T.";An assisted approach to business process redesign;DECISION SUPPORT SYSTEMS;English;Article;"Business process redesign; Reference architecture; User guidance; Business process management";"DESIGN SCIENCE RESEARCH; MODEL";For many organizations, the continuous optimization of their business processes has become a critical success factor. Several related methods exist that enable the step-by-step redesign of business processes. However, these methods are mainly performed manually and require both creativity and business process expertise, which is often hard to combine in practice. To enhance the quality and effectiveness of business process redesign, this paper presents a conceptualization of assisted business process redesign (ABPR). The ABPR concept guides users in improving business processes based on redesign patterns. Depending on the data at hand, the ABPR concept classifies four types of recommendations that differ in their level of automation. Further, this paper proposes a reference architecture that provides operational support for implementing ABPR tools. The ra has been instantiated as a prototype and evaluated regarding its applicability and usefulness in artificial and naturalistic settings by performing an extensive real-world case study at KUKA and interviewing experts from research and practice.;"[Fehrer, Tobias; Fischer, Dominik A.; Roeglinger, Maximilian] Univ Bayreuth, FIM Res Ctr, Bayreuth, Germany; [Fehrer, Tobias; Fischer, Dominik A.; Roeglinger, Maximilian] Project Grp Business & Informat Syst Engn Fraunho, Bayreuth, Germany; [Leemans, Sander J. J.] Queensland Univ Technol, Sch Informat Syst, Brisbane, Qld, Australia; [Wynn, Moe T.] Queensland Univ Technol, Brisbane, Qld, Australia";Fehrer, T (corresponding author), Univ Bayreuth, FIM Res Ctr, Bayreuth, Germany.;"tobias.fehrer@fim-rc.de; dominik.fischer@fim-rc.de; s.leemans@qut.edu.au; maximilian.roeglinger@fim-rc.de; m.wynn@qut.edu.au";Röglinger, Maximilian/GQH-4037-2022;Leemans, Sander/0000-0002-5201-7125;51;1;1;8;8;0167-9236;1873-5797;;MAY;2022;156;;;;113749;10.1016/j.dss.2022.113749;http://dx.doi.org/10.1016/j.dss.2022.113749;12;"Computer Science, Artificial Intelligence; Computer Science, Information Systems; Operations Research & Management Science";WOS:000820515200009;View Full Record in Web of Science
C;"Milani, F; Garcia-Banuelos, L; Reijers, HA; Stepanyan, L";"Milani, Frederik; Garcia-Banuelos, Luciano; Reijers, Hajo A.; Stepanyan, Lilit";Business Process Redesign Heuristics for Blockchain Solutions;2020 IEEE 24TH INTERNATIONAL ENTERPRISE DISTRIBUTED OBJECT COMPUTING CONFERENCE (EDOC 2020);English;Proceedings Paper;"business process management; blockchain; business process redesign";;Blockchain has emerged as one of the most promising and revolutionary technologies in the past years. Companies are exploring use cases in the hope of reaping benefits from this technology. However, to achieve the desired impact, it is not sufficient to merely replace existing technologies. Current business processes must be redesigned to realize benefits. This paper shows how a number of best practices for Business Process Redesign can be applied to leverage blockchain technology. Specifically, we adapt these best practices for redesigning processes intended to execute on blockchain. We further explore their applicability using a case study. The major elements of process redesign for blockchain are: (1) changing the view from intra- to inter-organizational processes by using the shared data ledger of blockchain, (2) using smart contracts performers of tasks and connectors of processes, (3) using blockchain as means for data communication, and (4) using tokens to manage digitally represented assets.;"[Milani, Frederik; Stepanyan, Lilit] Univ Tartu, Inst Comp Sci, Tartu, Estonia; [Garcia-Banuelos, Luciano] Tecnol Monterrey, Sch Engn & Sci, Monterrey, Mexico; [Reijers, Hajo A.] Univ Utrecht, Dept Informat & Comp Sci, Utrecht, Netherlands";Milani, F (corresponding author), Univ Tartu, Inst Comp Sci, Tartu, Estonia.;"milani@ut.ee; luciano.garcia@tec.mx; h.a.reijers@uu.nl; lilit.stepanyan@ut.ee";Garcia-Banuelos, Luciano/R-1277-2016;Garcia-Banuelos, Luciano/0000-0001-9076-903X;37;1;1;2;6;2325-6354;;978-1-7281-6473-1;;2020;;;209;216;;10.1109/EDOC49727.2020.00033;http://dx.doi.org/10.1109/EDOC49727.2020.00033;8;"Computer Science, Software Engineering; Computer Science, Theory & Methods";WOS:000630246800023;View Full Record in Web of Science
J;"HESS, T; BRECHT, L; OSTERLE, H";"HESS, T; BRECHT, L; OSTERLE, H";STATE-OF-THE-ART OF METHODS FOR BUSINESS PROCESS REDESIGN;WIRTSCHAFTSINFORMATIK;German;Article;"BUSINESS PROCESS REDESIGN; METHODS; REENGINEERING; ORGANIZATION; MANAGEMENT";WORK;Two stimuli can compet a company to redesign the way the, are doing their business: business changes and new IT potentials, The ''classic'' methods do not deliver appropriate answers to the stimuli mentioned above. Many new methods have been developed under the global term Business Process Redesign. These methods differ from the classic methods in their design objects as well as in their components. The new methods give the companies important guidelines on how to design their processes today, unfortunately many questions are still open.;;HESS, T (corresponding author), HSCH ST GALLEN WIRTSCHAFTS & SOZIALWISSENSCH,INST WIRTSCHAFSINFORMAT,DUFOURSTR 50,CH-9000 ST GALLEN,SWITZERLAND.;;;;24;2;2;0;3;0937-6429;;;OCT;1995;37;5;480;486;;;;7;Computer Science, Information Systems;WOS:A1995TC44700007;View Full Record in Web of Science
C;"Softic, S; Luftenegger, E";"Softic, Selver; Lueftenegger, Egon";Towards Empowering Business Process Redesign with Sentiment Analysis;PROCEEDINGS OF SIXTH INTERNATIONAL CONGRESS ON INFORMATION AND COMMUNICATION TECHNOLOGY (ICICT 2021), VOL 2;English;Proceedings Paper;"Business process redesign; Business process management; Sentiment analysis; Decision support";;In this paper, we propose a novel approach of empowering the Business Process Redesign (BPR) by using sentiment analysis on comments collected during the redesign phase of business processes. For this purpose, we trained and tested our Sentiment Analysis Module (SAM) to prioritize and classify the stakeholder comments as a part of software tool for BPMN based modeling and annotation tool. The preliminary result with evaluation test cases seem to be promising regarding effective ranking and classifying the improvement proposals on BPMN design. However, the findings are also leaving space for improvements in training data segment and in extending the tool with social BPMN functionality.;"[Softic, Selver; Lueftenegger, Egon] Univ Appl Sci, IT & Business Informat, CAMPUS 02, Graz, Austria";Softic, S (corresponding author), Univ Appl Sci, IT & Business Informat, CAMPUS 02, Graz, Austria.;"selver.softic@campus02.at; egon.lueftenegger@campus02.at";Softic, Selver/AGA-4504-2022;;13;0;0;0;0;2367-3370;2367-3389;"978-981-16-2380-6; 978-981-16-2379-0";;2022;236;;119;126;;10.1007/978-981-16-2380-6_10;http://dx.doi.org/10.1007/978-981-16-2380-6_10;8;"Computer Science, Information Systems; Computer Science, Theory & Methods";WOS:000767962400090;View Full Record in Web of Science
J;"Kwahk, KY; Kim, YG";"Kwahk, KY; Kim, YG";Supporting business process redesign using cognitive maps;DECISION SUPPORT SYSTEMS;English;Article;"business process redesign (BPR); modeling; core business activity; conflict; cognitive map";"INFLUENCE DIAGRAMS; SYSTEM; CONFLICT";Turbulent changes and competitive pressures have forced organizations to constantly change. Business process redesign (BPR) has been widely adopted as an organizational change method in the 1990s. Although BPR projects provide the possibility of dramatic performance improvement, many organizations have encountered serious problems due to the lack of commitment to such projects and the difficulty of systematic targeting of critical processes. By identifying the cause-effect relationships within an organization, we try to address these issues. We propose a cognitive map based method, called two-phase cognitive modeling (TCM), to help organizational members identify potential organizational conflicts, capture core business activities, and suggest ways to support the necessary organizational change. To apply the method in the real world context, we developed a prototype modeling tool, called two-phase cognitive modeling facility (TCMF). Working procedures of the TCM method and TCMF features are illustrated with their application to the real BPR project of a dairy company. (C) 1999 Elsevier Science B.V. All rights reserved.;Korea Adv Inst Sci & Technol, Grad Sch Management, Seoul 130012, South Korea;Kim, YG (corresponding author), Korea Adv Inst Sci & Technol, Grad Sch Management, 207-43 Cheongryangri Dong,Dongdaemoon Gu, Seoul 130012, South Korea.;"kykwahk@samsung.co.kr; domino2@unitel.co.kr";Kim, Young gul/C-2033-2011;;49;54;55;1;13;0167-9236;1873-5797;;MAR;1999;25;2;155;178;;10.1016/S0167-9236(99)00003-2;http://dx.doi.org/10.1016/S0167-9236(99)00003-2;24;"Computer Science, Artificial Intelligence; Computer Science, Information Systems; Operations Research & Management Science";WOS:000079454600004;View Full Record in Web of Science
J;"GROVER, V; TENG, JTC; FIEDLER, KD";"GROVER, V; TENG, JTC; FIEDLER, KD";INFORMATION TECHNOLOGY ENABLED BUSINESS PROCESS REDESIGN - AN INTEGRATED PLANNING FRAMEWORK;OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE;English;Article;"BUSINESS PROCESS REDESIGN; REENGINEERING; MIS; INNOVATION; STRATEGIC PLANNING; IMPLEMENTATION";"ORGANIZATIONAL INNOVATION; FIELD";Environmental pressures and the development of powerful and flexible information technologies (IT) are converging to create an impetus for major change in the structure, function and process of business organizations. IT-enabled business process redesign (BPR) is a manifestation of this change and is only going to grow in importance. Three streams of research are reviewed in conjunction with examination of real world examples. An integrated framework for effective BPR planning is then presented. Preliminary validation is conducted by mapping cases onto various elements of the framework. Finally, a set of propositions is suggested for future research as well as practice.;;GROVER, V (corresponding author), UNIV S CAROLINA,COLL BUSINESS ADM,DEPT MANAGEMENT SCI,COLUMBIA,SC 29208, USA.;;;Grover, Varun/0000-0001-5367-2423;56;59;59;1;16;0305-0483;;;JUL;1993;21;4;433;447;;10.1016/0305-0483(93)90076-W;http://dx.doi.org/10.1016/0305-0483(93)90076-W;15;"Management; Operations Research & Management Science";WOS:A1993LQ42500005;View Full Record in Web of Science
J;"Kumar, S; Strehlow, R";"Kumar, S; Strehlow, R";Business process redesign as a tool for organizational development;TECHNOVATION;English;Article;"business process redesign; team work; business integration; process mapping; workflow analysis";;The article presents a successful systematic organizational improvement effort at a mid-size electronics components manufacturer using process mapping and teamwork. The company was faced with increasing customer demand for a newly developed product line that it had not yet integrated into its appropriate production areas. It also had not clearly identified the long-term responsibilities of the engineering group it had assembled to support this new product line. A cross-functional team was charged to work on a business process redesign project, specifically targeting the quoting process (a bottleneck operation). It was intended not only to improve the quoting process, but also to force the clarification of the responsibilities of the new engineering group and thereby move them closer to integration with production function. (C) 2003 Elsevier Ltd. All rights reserved.;Univ St Thomas, Coll Business, Minneapolis, MN USA;Kumar, S (corresponding author), Univ St Thomas, Coll Business, Mail TMH 343,1000 LaSalle Ave, Minneapolis, MN USA.;skumar@stthomas.edu;;;16;7;7;2;12;0166-4972;1879-2383;;NOV;2004;24;11;853;861;;10.1016/S0166-4972(02)00182-7;http://dx.doi.org/10.1016/S0166-4972(02)00182-7;9;"Engineering, Industrial; Management; Operations Research & Management Science";WOS:000225003400001;View Full Record in Web of Science
C;"Urh, B; Zajec, M; Kern, T; Krhac, E";"Urh, Benjamin; Zajec, Maja; Kern, Tomaz; Krhac, Eva";Structural Indicators for Business Process Redesign Efficiency Assessment;ADVANCES IN MANUFACTURING II, VOL 3 - QUALITY ENGINEERING AND MANAGEMENT;English;Proceedings Paper;"Business process redesign; Structural efficiency indicators; Operational efficiency indicators; Process redesign efficiency";"COMPLEXITY; METRICS";In this paper, we discuss some available methods for assessment of business process redesign efficiency. Business process efficiency can be assessed with operational (e.g. time, cost or quality) as well as structural indicators (on the basis of business process model's structure). The use of operational OR structural indicators depends on the context: operational indicators can be used only when the process has already been established or implemented in the company, where structural indicators can be used already in the phase of business process model design. The advantage of structural indicators is their possibility to assess business process efficiency before the process starts and costs increase (e.g. with implementation). In literature, many various structural indicators are presented, which give different efficiency assessment for the same business process model. Here, we propose a uniform assessment method for measuring business process model structural efficiency. The process redesign and the way of uniform structural efficiency assessment is presented using as a case study selected core processes in one of the most successful Slovenian health services organization.;"[Urh, Benjamin; Zajec, Maja; Kern, Tomaz; Krhac, Eva] UM, Fac Org Sci, Maribor, Slovenia";Urh, B (corresponding author), UM, Fac Org Sci, Maribor, Slovenia.;benjamin.urh@um.si;Zajec, Maja/AAA-2339-2020;"Zajec, Maja/0000-0002-4019-9072; Urh, Benjamin/0000-0002-2579-2759";30;1;1;4;10;2195-4356;;"978-3-030-17269-5; 978-3-030-17268-8";;2019;;;16;32;;10.1007/978-3-030-17269-5_2;http://dx.doi.org/10.1007/978-3-030-17269-5_2;17;"Engineering, Manufacturing; Engineering, Mechanical";WOS:000490711700002;View Full Record in Web of Science
J;"TENG, JTC; KETTINGER, WJ";"TENG, JTC; KETTINGER, WJ";BUSINESS PROCESS REDESIGN AND INFORMATION ARCHITECTURE - EXPLORING THE RELATIONSHIPS;DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS;English;Article;"INFORMATION ARCHITECTURE; BUSINESS PROCESS REDESIGN; REENGINEERING; METHODOLOGY; INFORMATION SYSTEMS; STRATEGY";WORK;Business process redesign (BPR) and information architecture (IA) have been recognized as high priority agenda items in organizations during the 1990s. This paper explores the relationships between the two concepts. Specifically, this paper focuses on three main concerns: how IA supports BPR, how the lack of IA hinders BPR, and what approach to IA can facilitate BPR? The paper begins with a brief review of the development and implementation of each concept. This is followed by an examination of how IA and BPR are related to business processes, both existing and newly designed processes. This analysis, in conjunction with results from field research, provide the basis for nine propositions regarding the BPR and IA relationship. In support of BPR, IS professionals have the opportunity not only to contribute to a firm's business objectives, but also to begin to achieve IA's promise while avoiding some of IA's past implementation problems. It is hoped that further research based on these propositions will lead to more complete answers and perhaps more specific questions on the BPR/IA relationships.;"UNIV S CAROLINA,COLL BUSINESS ADM,COLUMBIA,SC 29208; UNIV S CAROLINA,CTR INFORMAT MANAGEMENT & TECHNOL RES,COLUMBIA,SC 29208";;;;;59;11;11;0;2;;;;FEB;1995;26;1;30;42;;;;13;"Computer Science, Information Systems; Information Science & Library Science";WOS:A1995RR56000007;View Full Record in Web of Science
C;"Netjes, M; Mansar, SL; Reijers, HA; van der Aalst, WMP";"Netjes, Mariska; Mansar, Selma Limam; Reijers, Hajo A.; van der Aalst, Wil M. P.";Performing Business Process Redesign with Best Practices: An Evolutionary Approach;ENTERPRISE INFORMATION SYSTEMS-BOOKS;English;Proceedings Paper;"Business Process Redesign; process modelling; Business Process Management; workflows; best practices";"RESEARCH AGENDA; SYSTEM; TOOLS";Although extensive literature on BPR is available, there is still a lack of concrete guidance on actually changing processes for the better. In this paper we propose and detail out an evolutionary approach towards business process redesign. We describe the steps to derive a better performing redesign using the existing process model as input. The redesign steps are: 1) computing process measures, 2) evaluating condition statements to find applicable redesign best practices, 3) creating alternative models according to these best practices, and 4) evaluating the performance of the created alternatives. The end result is a new process model. We show the applicability of the steps with a case study. Our approach has a formal basis to make it suitable for automation.;"[Netjes, Mariska; Reijers, Hajo A.; van der Aalst, Wil M. P.] Eindhoven Univ Technol, POB 513, NL-5600 MB Eindhoven, Netherlands; [Mansar, Selma Limam] Carnegie Mellon Univ, Informat Syst Program, Doha, Qatar";Netjes, M (corresponding author), Eindhoven Univ Technol, POB 513, NL-5600 MB Eindhoven, Netherlands.;m.netjes@tue.n1;van der Aalst, Wil/G-1248-2011;van der Aalst, Wil/0000-0002-0955-6940;20;2;2;0;3;1865-1348;;978-3-540-88709-6;;2008;12;;199;+;;;;3;"Computer Science, Artificial Intelligence; Computer Science, Hardware & Architecture; Computer Science, Information Systems; Computer Science, Software Engineering";WOS:000261372700016;View Full Record in Web of Science
